,Id,Probability,Score
0,1,0.536437673,588.05642
1,2,0.383904801,638.6919634
2,3,0.170937263,729.1621365
3,4,0.523596089,592.2736205
4,5,0.651786312,548.7195449
5,6,0.243638604,692.6657642
6,7,0.273678697,679.8398841
7,8,0.249929565,689.8972165
8,9,0.072779822,808.1607388
9,10,0.926379089,392.8534075
10,11,0.103377466,776.7082828
11,12,0.183056345,722.354487
12,13,0.097137105,782.3687871
13,14,0.427365935,623.9351909
14,15,0.513696714,595.5173137
15,16,0.138707777,749.372072
16,17,0.280519039,677.0464766
17,18,0.142669304,746.691476
18,19,0.812005629,480.3188084
19,20,0.558577911,580.7448875
20,21,0.100188816,779.5615015
21,22,0.133972935,752.6615698
22,23,0.075760295,804.6142841
23,24,0.922741128,397.1207059
24,25,0.550266477,583.4970604
25,26,0.153605527,739.5996941
26,27,0.58026371,573.508576
27,28,0.108282422,772.4676626
28,29,0.424979821,624.7333299
29,30,0.15990722,735.6995387
30,31,0.509149243,597.0060335
31,32,0.11281111,768.6996645
32,33,0.175320255,726.6575489
33,34,0.482050627,605.8755597
34,35,0.883756124,434.0694539
35,36,0.352343358,649.7961208
36,37,0.288488984,673.8436411
37,38,0.143910045,745.8647
38,39,0.11275523,768.7453455
39,40,0.396218489,634.4579716
40,41,0.861953337,450.1743535
41,42,0.846570777,460.2893271
42,43,0.574979026,575.2804453
43,44,0.087110973,792.1834941
44,45,0.368265831,644.144486
45,46,0.077269105,802.8675532
46,47,0.078828317,801.0950049
47,48,0.148328599,742.967643
48,49,0.175475585,726.5696993
49,50,0.278450472,677.8867548
50,51,0.154987516,738.7333587
51,52,0.216017406,705.4424766
52,53,0.087363559,791.9240147
53,54,0.481465889,606.067141
54,55,0.16185401,734.5198989
55,56,0.563275382,579.1846967
56,57,0.086624944,792.6847082
57,58,0.681830545,537.652282
58,59,0.645810089,550.8650108
59,60,0.605346615,565.006505
60,61,0.166227013,731.9112334
61,62,0.095910037,783.5197916
62,63,0.21067659,708.0456876
63,64,0.091866721,787.4080789
64,65,0.15005895,741.852552
65,66,0.21938747,703.8237887
66,67,0.138654042,749.4088705
67,68,0.751219981,509.6004087
68,69,0.086772719,792.5320476
69,70,0.931829007,386.0823515
70,71,0.176783003,725.8326801
71,72,0.699716709,530.8013539
72,73,0.092793184,786.5037757
73,74,0.805302174,483.8629095
74,75,0.138314591,749.6416082
75,76,0.241619137,693.5647251
76,77,0.538595692,587.3463172
77,78,0.324107791,660.1195203
78,79,0.244368788,692.3419694
79,80,0.168963088,730.3069039
80,81,0.156491318,737.7977984
81,82,0.128590732,756.5224193
82,83,0.35593501,648.511611
83,84,0.110624524,770.5020962
84,85,0.141980376,747.1531382
85,86,0.165420288,732.3882958
86,87,0.501430128,599.5320608
87,88,0.154055476,739.3169348
88,89,0.284188693,675.5650539
89,90,0.189892288,718.6680952
90,91,0.395497107,634.704712
91,92,0.142743762,746.6416918
92,93,0.119531314,763.3444555
93,94,0.130409603,755.2025759
94,95,0.07262008,808.3545675
95,96,0.694811311,532.7023158
96,97,0.262029821,684.699409
97,98,0.573232977,575.8645848
98,99,0.11233971,769.0856477
99,100,0.105412417,774.9278581
100,101,0.489079486,603.5737605
101,102,0.500258013,599.9155781
102,103,0.089522302,789.733597
103,104,0.408065706,630.426936
104,105,0.528612746,590.6276699
105,106,0.192552884,717.26085
106,107,0.886410627,431.9345093
107,108,0.13069676,754.9956369
108,109,0.08608741,793.2420097
109,110,0.158351723,736.6504624
110,111,0.155418233,738.4646427
111,112,0.233110264,697.4100129
112,113,0.252435322,688.8074593
113,114,0.92355316,396.1844399
114,115,0.616132663,561.2950796
115,116,0.104692346,775.5543662
116,117,0.069182199,812.6243732
117,118,0.613715356,562.1301408
118,119,0.155341264,738.5126176
119,120,0.090449672,788.8072219
120,121,0.112071245,769.3061
121,122,0.477368257,607.4101697
122,123,0.119533185,763.3430013
123,124,0.926730939,392.4304679
124,125,0.107009358,773.5517727
125,126,0.124328053,759.6791518
126,127,0.072356584,808.6751504
127,128,0.120450038,762.6327416
128,129,0.082170506,797.4010039
129,130,0.485373479,604.7871635
130,131,0.27981268,677.332981
131,132,0.519699822,593.5508798
132,133,0.081482883,798.149667
133,134,0.209809392,708.472913
134,135,0.526489944,591.3243671
135,136,0.101477613,778.3987169
136,137,0.802402871,485.3670703
137,138,0.361985099,646.3608527
138,139,0.086648538,792.6603184
139,140,0.162632246,734.0515376
140,141,0.086943552,792.3558595
141,142,0.149487538,742.2196095
142,143,0.078883001,801.033423
143,144,0.219244013,703.8923264
144,145,0.892559337,426.8167805
145,146,0.100129725,779.6151327
146,147,0.078431061,801.5435477
147,148,0.58110154,573.2271089
148,149,0.083746247,795.7066629
149,150,0.387462408,637.4637033
150,151,0.082720207,796.806598
151,152,0.138055931,749.8192753
152,153,0.099539272,780.1525811
153,154,0.137309619,750.3334705
154,155,0.159872038,735.7209635
155,156,0.235145683,696.4814747
156,157,0.385026349,638.3042939
157,158,0.083556578,795.9090654
158,159,0.685882789,536.1190629
159,160,0.219133883,703.9449638
160,161,0.080845136,798.8491904
161,162,0.16342177,733.5782247
162,163,0.14652524,744.1412744
163,164,0.409341962,629.9949422
164,165,0.098911808,780.7268349
165,166,0.188185709,719.5787017
166,167,0.92188069,398.1029956
167,168,0.169134759,730.2069356
168,169,0.837197763,466.0505266
169,170,0.132383741,753.7876552
170,171,0.08074475,798.9597585
171,172,0.170729807,729.2819386
172,173,0.162531707,734.1119426
173,174,0.330137078,657.8788286
174,175,0.165601902,732.2807348
175,176,0.890765823,428.3355362
176,177,0.158240571,736.7187027
177,178,0.552801365,582.6587377
178,179,0.128746682,756.408635
179,180,0.112363813,769.0658778
180,181,0.304106157,667.7156992
181,182,0.092115895,787.1640622
182,183,0.155569862,738.370189
183,184,0.128164474,756.8340273
184,185,0.74273763,513.2718444
185,186,0.111407149,769.8534174
186,187,0.095228834,784.1644613
187,188,0.251930857,689.0262724
188,189,0.404747997,631.5519129
189,190,0.221890667,702.6330101
190,191,0.202693633,712.0286471
191,192,0.300851349,668.9776125
192,193,0.133078037,753.294285
193,194,0.401072413,632.8016944
194,195,0.146509117,744.1518211
195,196,0.244491356,692.2876818
196,197,0.106128576,774.3084874
197,198,0.096842095,782.6443193
198,199,0.106017602,774.4042216
199,200,0.091395926,787.870758
200,201,0.523417731,592.3321085
201,202,0.196199216,715.3560701
